artifact,status,matched_markers,sha256
experiments/controlled_nonabelian_holonomy.py,INVALID_AS_EMPIRICAL_ACCURACY_EVIDENCE,target_accuracy_for_method;logits_with_target_accuracy,dd8a05649dd9acca9566bd1b126a4e9968c4f5de5eb9da705521aec9b08e4a07
experiments/future_e0_provenance.py,INVALID_AS_EMPIRICAL_ACCURACY_EVIDENCE,target_accuracy_for_method;logits_with_target_accuracy;prescribed method accuracies,9207964a7da58ff1cc851a9b7aeb57efd70a0b55ee6ee0b9385d7cfb77ef5337
src/controlled_nonabelian_holonomy.py,INVALID_AS_EMPIRICAL_ACCURACY_EVIDENCE,target_accuracy_for_method;logits_with_target_accuracy,15998176deb79ccc880cb08ff78a401ff45bd97e6069394ebc1fd28e9fac22a9
tests/test_heldout_diagnostic_prediction.py,INVALID_AS_EMPIRICAL_ACCURACY_EVIDENCE,target_accuracy_for_method,815eed9416fc315652d16ea3c148d1c8b3c38b67fcc7ece95fcfc1c42eba6892
tests/test_matched_selector_budget_benchmark.py,INVALID_AS_EMPIRICAL_ACCURACY_EVIDENCE,target_accuracy_for_method;logits_with_target_accuracy,3a36b5b7a95c78bb8b596a45ee5104cf317fbb15b92384d36896c15d3bbf68e4
reports/compact_program/context_runs.csv,VERIFIED_PRESENT,,61c0a5d560684fe155c4753fa9d08a918e0da794c9c384ff2a6214dd5de385f1
reports/compact_program/hodge_runs.csv,VERIFIED_PRESENT,,3112c370be76f289ed11437d85f0cc6601b09b45e3c7bc1c94fb21528561174f
reports/compact_program/natural_runs.csv,VERIFIED_PRESENT,,40ae90895f0447953c15cd415b56bd147c21ec01a40da3a126b5929efd9c090b
reports/compact_program/vision_runs.csv,VERIFIED_PRESENT,,7cadf10cdc53b5b34e1c4b1b2620a05389d7232eeb0a5697d5a752f7e396173a
reports/compact_program/federated_runs.csv,VERIFIED_PRESENT,,99fc58012a422c48065c3b7a7dfdaed349f00cce4b69637e2240d966f8249b2a
reports/overnight_program/practical_selector_runs.csv,VERIFIED_PRESENT,,1bedaf84a559a45afa326a038a0b8433044d27f3e66230fdc8ecfa9a689a79e5
reports/overnight_program/period_index_summary.csv,VERIFIED_PRESENT,,51b0bc38fafd32794e9e2b04994468a77e43c0f5e1e4e6a814c4ea172e85e57f
