setting_id,group,seed,method,category_type,category,examples,accuracy
S3_seed0,S3,0,exact_structured_retransport,word_length,4,128,1.0
S3_seed0,S3,0,exact_structured_retransport,word_length,5,128,1.0
S3_seed0,S3,0,exact_structured_retransport,word_length,6,128,1.0
S3_seed0,S3,0,exact_structured_retransport,word_length,7,128,1.0
S3_seed0,S3,0,exact_structured_retransport,word_length,8,128,1.0
S3_seed0,S3,0,exact_structured_retransport,word_length,9,128,1.0
S3_seed0,S3,0,exact_structured_retransport,word_length,10,128,1.0
S3_seed0,S3,0,exact_structured_retransport,structural,alternate_presentation,100,1.0
S3_seed0,S3,0,exact_structured_retransport,structural,commutator,89,1.0
S3_seed0,S3,0,exact_structured_retransport,structural,heldout_element,147,1.0
S3_seed0,S3,0,exact_structured_retransport,structural,inverse_word,81,1.0
S3_seed0,S3,0,exact_structured_retransport,structural,length_extrapolation,304,1.0
S3_seed0,S3,0,exact_structured_retransport,structural,noisy_generator_token,78,1.0
S3_seed0,S3,0,exact_structured_retransport,structural,reordered_equivalent_word,97,1.0
S3_seed0,S3,0,symbolic_word_reduction_oracle,word_length,4,128,1.0
S3_seed0,S3,0,symbolic_word_reduction_oracle,word_length,5,128,1.0
S3_seed0,S3,0,symbolic_word_reduction_oracle,word_length,6,128,1.0
S3_seed0,S3,0,symbolic_word_reduction_oracle,word_length,7,128,1.0
S3_seed0,S3,0,symbolic_word_reduction_oracle,word_length,8,128,1.0
S3_seed0,S3,0,symbolic_word_reduction_oracle,word_length,9,128,1.0
S3_seed0,S3,0,symbolic_word_reduction_oracle,word_length,10,128,1.0
S3_seed0,S3,0,symbolic_word_reduction_oracle,structural,alternate_presentation,100,1.0
S3_seed0,S3,0,symbolic_word_reduction_oracle,structural,commutator,89,1.0
S3_seed0,S3,0,symbolic_word_reduction_oracle,structural,heldout_element,147,1.0
S3_seed0,S3,0,symbolic_word_reduction_oracle,structural,inverse_word,81,1.0
S3_seed0,S3,0,symbolic_word_reduction_oracle,structural,length_extrapolation,304,1.0
S3_seed0,S3,0,symbolic_word_reduction_oracle,structural,noisy_generator_token,78,1.0
S3_seed0,S3,0,symbolic_word_reduction_oracle,structural,reordered_equivalent_word,97,1.0
S3_seed0,S3,0,learned_cayley_table_model,word_length,4,128,0.6484375
S3_seed0,S3,0,learned_cayley_table_model,word_length,5,128,0.328125
S3_seed0,S3,0,learned_cayley_table_model,word_length,6,128,0.296875
S3_seed0,S3,0,learned_cayley_table_model,word_length,7,128,0.2421875
S3_seed0,S3,0,learned_cayley_table_model,word_length,8,128,0.203125
S3_seed0,S3,0,learned_cayley_table_model,word_length,9,128,0.1875
S3_seed0,S3,0,learned_cayley_table_model,word_length,10,128,0.171875
S3_seed0,S3,0,learned_cayley_table_model,structural,alternate_presentation,100,0.42
S3_seed0,S3,0,learned_cayley_table_model,structural,commutator,89,0.20224719101123595
S3_seed0,S3,0,learned_cayley_table_model,structural,heldout_element,147,0.006802721088435374
S3_seed0,S3,0,learned_cayley_table_model,structural,inverse_word,81,0.4074074074074074
S3_seed0,S3,0,learned_cayley_table_model,structural,length_extrapolation,304,0.3815789473684211
S3_seed0,S3,0,learned_cayley_table_model,structural,noisy_generator_token,78,0.5128205128205128
S3_seed0,S3,0,learned_cayley_table_model,structural,reordered_equivalent_word,97,0.16494845360824742
S3_seed0,S3,0,differentiable_finite_state_automaton,word_length,4,128,0.7578125
S3_seed0,S3,0,differentiable_finite_state_automaton,word_length,5,128,0.6015625
S3_seed0,S3,0,differentiable_finite_state_automaton,word_length,6,128,0.5234375
S3_seed0,S3,0,differentiable_finite_state_automaton,word_length,7,128,0.3984375
S3_seed0,S3,0,differentiable_finite_state_automaton,word_length,8,128,0.3828125
S3_seed0,S3,0,differentiable_finite_state_automaton,word_length,9,128,0.1796875
S3_seed0,S3,0,differentiable_finite_state_automaton,word_length,10,128,0.359375
S3_seed0,S3,0,differentiable_finite_state_automaton,structural,alternate_presentation,100,0.64
S3_seed0,S3,0,differentiable_finite_state_automaton,structural,commutator,89,0.15730337078651685
S3_seed0,S3,0,differentiable_finite_state_automaton,structural,heldout_element,147,0.11564625850340136
S3_seed0,S3,0,differentiable_finite_state_automaton,structural,inverse_word,81,0.5679012345679012
S3_seed0,S3,0,differentiable_finite_state_automaton,structural,length_extrapolation,304,0.5526315789473685
S3_seed0,S3,0,differentiable_finite_state_automaton,structural,noisy_generator_token,78,0.6025641025641025
S3_seed0,S3,0,differentiable_finite_state_automaton,structural,reordered_equivalent_word,97,0.5567010309278351
S3_seed0,S3,0,group_equivariant_recurrent_network,word_length,4,128,0.9609375
S3_seed0,S3,0,group_equivariant_recurrent_network,word_length,5,128,0.6640625
S3_seed0,S3,0,group_equivariant_recurrent_network,word_length,6,128,0.953125
S3_seed0,S3,0,group_equivariant_recurrent_network,word_length,7,128,0.7109375
S3_seed0,S3,0,group_equivariant_recurrent_network,word_length,8,128,0.9296875
S3_seed0,S3,0,group_equivariant_recurrent_network,word_length,9,128,0.703125
S3_seed0,S3,0,group_equivariant_recurrent_network,word_length,10,128,0.9296875
S3_seed0,S3,0,group_equivariant_recurrent_network,structural,alternate_presentation,100,1.0
S3_seed0,S3,0,group_equivariant_recurrent_network,structural,commutator,89,1.0
S3_seed0,S3,0,group_equivariant_recurrent_network,structural,heldout_element,147,0.0
S3_seed0,S3,0,group_equivariant_recurrent_network,structural,inverse_word,81,1.0
S3_seed0,S3,0,group_equivariant_recurrent_network,structural,length_extrapolation,304,1.0
S3_seed0,S3,0,group_equivariant_recurrent_network,structural,noisy_generator_token,78,1.0
