setting_id,group,seed,word_length,method,accuracy,loss,ece,action_accuracy,representation_multiplication_error,trainable_parameters,training_examples,leakage_hash_passed,logits_sha256
S3_s0,S3,0,4,twistedmerge_structured_action,1.0,0.9130742322391888,0.5781783797702221,1.0,0.0,0,1200,True,674f91c5a94ecd78125c47b03d9693b2c75e444e2e8659882082796e51bef46d
S3_s0,S3,0,5,twistedmerge_structured_action,1.0,0.9109669952480859,0.5772066239582291,1.0,0.0,0,1200,True,674f91c5a94ecd78125c47b03d9693b2c75e444e2e8659882082796e51bef46d
S3_s0,S3,0,6,twistedmerge_structured_action,1.0,0.9107526437348535,0.5805836463372235,1.0,0.0,0,1200,True,674f91c5a94ecd78125c47b03d9693b2c75e444e2e8659882082796e51bef46d
S3_s0,S3,0,7,twistedmerge_structured_action,1.0,0.9132263301230514,0.579849113294841,1.0,0.0,0,1200,True,674f91c5a94ecd78125c47b03d9693b2c75e444e2e8659882082796e51bef46d
S3_s0,S3,0,8,twistedmerge_structured_action,1.0,0.9106516680612049,0.5784887328490008,1.0,0.0,0,1200,True,674f91c5a94ecd78125c47b03d9693b2c75e444e2e8659882082796e51bef46d
S3_s0,S3,0,4,generic_mixture_of_experts,0.17142857142857143,2.127438475231895,0.2503930488012065,0.17142857142857143,0.8285714285714286,102,1200,True,674f91c5a94ecd78125c47b03d9693b2c75e444e2e8659882082796e51bef46d
S3_s0,S3,0,5,generic_mixture_of_experts,0.14439655172413793,2.246655895993746,0.27839682431763296,0.14439655172413793,0.8556034482758621,102,1200,True,674f91c5a94ecd78125c47b03d9693b2c75e444e2e8659882082796e51bef46d
S3_s0,S3,0,6,generic_mixture_of_experts,0.1728395061728395,2.1518370954794253,0.24657684748993688,0.1728395061728395,0.8271604938271605,102,1200,True,674f91c5a94ecd78125c47b03d9693b2c75e444e2e8659882082796e51bef46d
S3_s0,S3,0,7,generic_mixture_of_experts,0.17276422764227642,2.1960813140279356,0.24738665906288257,0.17276422764227642,0.8272357723577236,102,1200,True,674f91c5a94ecd78125c47b03d9693b2c75e444e2e8659882082796e51bef46d
S3_s0,S3,0,8,generic_mixture_of_experts,0.1709741550695825,2.1344953002958853,0.2505371120814166,0.1709741550695825,0.8290258449304175,102,1200,True,674f91c5a94ecd78125c47b03d9693b2c75e444e2e8659882082796e51bef46d
S3_s0,S3,0,4,learned_matrix_action,0.17142857142857143,2.127438475231895,0.2503930488012065,0.17142857142857143,0.8285714285714286,102,1200,True,674f91c5a94ecd78125c47b03d9693b2c75e444e2e8659882082796e51bef46d
S3_s0,S3,0,5,learned_matrix_action,0.14439655172413793,2.246655895993746,0.27839682431763296,0.14439655172413793,0.8556034482758621,102,1200,True,674f91c5a94ecd78125c47b03d9693b2c75e444e2e8659882082796e51bef46d
